[18:45:10.221], MIX, 12, -->, STTP, 1, list, e196d3a2, SETUP, , , 
[18:45:10.226], MIX, 12, -->, STTP, 2, list, fddeffd9, SETUP, , , 
[18:45:10.294], MIX, 12, -->, STTP, 3, list, a5908ce5, SETUP, , , 
[18:45:10.297], MIX, 12, -->, STTP, 4, list, fa6ea3f8, SETUP, , , 
[18:45:10.356], MIX, 12, -->, STTP, 5, list, 5e620618, SETUP, , , 
[18:45:10.359], MIX, 12, -->, STTP, 6, list, 38d82394, SETUP, , , 
[18:45:10.364], MIX, 12, -->, STTP, 7, list, 439b338b, SETUP, , , 
[18:45:10.365], MIX, 12, -->, STTP, 8, list, 479ef2d9, SETUP, , , 
[18:45:10.402], MIX, 12, -->, STTP, 9, list, ff12b5c6, SETUP, , , 
[18:45:10.404], MIX, 12, -->, STTP, 10, list, 8153f90f, SETUP, , , 
[18:45:10.405], MIX, 12, -->, STTP, 11, list, cb2ffb4a, SETUP, , , 
[18:45:10.407], MIX, 12, -->, STTP, 12, list, d8279fa0, SETUP, , , 
[18:45:10.413], MIX, 12, -->, STTP, 13, list, e8cabac9, SETUP, , , 
[18:45:10.417], MIX, 12, -->, STTP, 14, list, 1f1d0af3, SETUP, , , 
[18:45:10.421], MIX, 12, -->, STTP, 15, list, 0a0d8a2e, SETUP, , , 
[18:45:10.424], MIX, 12, -->, STTP, 16, list, 02beec29, SETUP, , , 
[18:45:10.425], MIX, 12, -->, STTP, 17, list, b3caec1d, SETUP, , , 
[18:45:10.426], MIX, 12, -->, STTP, 18, list, 873d3c26, SETUP, , , 
[18:45:10.427], MIX, 12, -->, STTP, 19, list, 7ef29dc8, SETUP, , , 
[18:45:10.427], MIX, 12, -->, STTP, 20, list, bb08bf9e, SETUP, , , 
[18:45:10.427], MIX, 12, , , , , , setup, CPU: 25.005537 ms, wall: 206.738964 ms, 
[18:45:13.009], MIX, 12, <--, MIX, 27, Header, 3644a50c, RUN, , , 
[18:45:13.010], MIX, 12, , , , , , compute_shared_secret, CPU: 0.345031 ms, wall: 0.345651 ms, 
[18:45:13.010], MIX, 12, , , , , , verify_integrity, CPU: 0.504278 ms, wall: 0.514495 ms, 
[18:45:13.013], MIX, 12, , , , , , decrypt_beta, CPU: 2.561436 ms, wall: 2.597626 ms, 
[18:45:13.013], MIX, 12, , , , , , update_alpha, CPU: 0.212405 ms, wall: 0.212143 ms, 
[18:45:13.014], MIX, 12, , , , , , process_header, CPU: 4.318643 ms, wall: 4.363223 ms, 
[18:45:13.014], MIX, 12, -->, CLIENT, 55, Header, d92905b0, RUN, , , 
[18:45:13.166], MIX, 12, <--, MIX, 21, Header, cf9262e9, RUN, , , 
[18:45:13.167], MIX, 12, , , , , , compute_shared_secret, CPU: 0.344468 ms, wall: 0.356337 ms, 
[18:45:13.174], MIX, 12, , , , , , verify_integrity, CPU: 0.482079 ms, wall: 6.726607 ms, 
[18:45:13.180], MIX, 12, , , , , , decrypt_beta, CPU: 2.638271 ms, wall: 5.453621 ms, 
[18:45:13.180], MIX, 12, , , , , , update_alpha, CPU: 0.222910 ms, wall: 0.230793 ms, 
[18:45:13.180], MIX, 12, , , , , , process_header, CPU: 4.507131 ms, wall: 13.571616 ms, 
[18:45:13.180], MIX, 12, -->, CLIENT, 71, Header, b3a887b7, RUN, , , 
[18:45:13.262], MIX, 12, <--, CLIENT, 90, Header, bfa5a89a, RUN, , , 
[18:45:13.263], MIX, 12, , , , , , compute_shared_secret, CPU: 0.178772 ms, wall: 0.178828 ms, 
[18:45:13.263], MIX, 12, , , , , , verify_integrity, CPU: 0.267306 ms, wall: 0.273345 ms, 
[18:45:13.264], MIX, 12, , , , , , decrypt_beta, CPU: 1.073848 ms, wall: 1.083352 ms, 
[18:45:13.264], MIX, 12, , , , , , update_alpha, CPU: 0.073295 ms, wall: 0.073331 ms, 
[18:45:13.264], MIX, 12, , , , , , process_header, CPU: 1.959235 ms, wall: 1.973498 ms, 
[18:45:13.265], MIX, 12, -->, MIX, 22, Header, 0d37859e, RUN, , , 
